sim_step,Δ,δ,c,per_infected,βd,βₑ,βᵢ,γₑ,γₐ,avg_he_size,avg_degree,avg_direct_contacts,new_users,moved_users,perc_infected_users,perc_infected_locations
124,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08604522890237176,0.924901185770751,55.75,0,25,0.02766798418972332,0.0
125,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0930318073175216,1.0,44.7,1,61,0.02766798418972332,0.0
126,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09854752711895569,1.0592885375494072,45.0,3,94,0.02766798418972332,0.0
127,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10682110682110682,1.1482213438735178,28.25,2,140,0.02766798418972332,0.0
128,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09119323405037691,0.9802371541501976,45.2,0,48,0.02766798418972332,0.0
129,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0840227983085126,0.9031620553359684,45.3,1,4,0.025691699604743084,0.0
130,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08751608751608751,0.9407114624505929,45.3,0,26,0.025691699604743084,0.0
131,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09395109395109395,1.0098814229249011,45.3,0,62,0.023715415019762844,0.0
132,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09799595513881228,1.0533596837944663,56.75,1,86,0.023715415019762844,0.0
133,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.11104982533553961,1.1936758893280632,32.5,1,159,0.023715415019762844,0.0
134,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09119323405037691,0.9802371541501976,32.5,0,44,0.023715415019762844,0.0
135,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08494208494208494,0.9130434782608695,32.5,0,7,0.023715415019762844,0.0
136,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08678065820922964,0.932806324110672,28.4375,0,20,0.019762845849802372,0.0
137,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09523809523809523,1.023715415019763,28.5,1,67,0.019762845849802372,0.0
138,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10369553226696084,1.1146245059288538,28.8125,5,107,0.019762845849802372,0.0
139,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.11564625850340136,1.243083003952569,21.045454545454547,2,177,0.019762845849802372,0.0
140,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10718882147453576,1.1521739130434783,29.0625,2,125,0.019762845849802372,0.0
141,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0864129435558007,0.9288537549407114,46.5,0,5,0.019762845849802372,0.0
142,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09100937672366244,0.9782608695652174,38.75,0,30,0.019762845849802372,0.0
143,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10700496414782129,1.150197628458498,38.916666666666664,2,122,0.019762845849802372,0.0
144,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10792425078139364,1.1600790513833992,33.5,2,124,0.019762845849802372,0.0
145,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.1154624011766869,1.2411067193675889,33.5,0,170,0.019762845849802372,0.0
146,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10185695899981614,1.0948616600790513,46.9,0,90,0.019762845849802372,0.0
147,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08769994484280198,0.9426877470355731,58.625,0,10,0.019762845849802372,0.0
148,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09137709137709138,0.9822134387351779,58.625,0,30,0.019762845849802372,0.0
149,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10810810810810811,1.1620553359683794,58.75,1,126,0.019762845849802372,0.0
150,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.1099466813752528,1.1818181818181819,59.125,3,132,0.019762845849802372,0.0
151,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.1027762456333885,1.1047430830039526,78.83333333333333,0,99,0.017786561264822136,0.0
152,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09027394741680456,0.9703557312252964,78.83333333333333,0,20,0.017786561264822136,0.0
153,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08733223018937304,0.9387351778656127,78.83333333333333,0,2,0.017786561264822136,0.0
154,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0930318073175216,1.0,79.0,1,32,0.017786561264822136,0.0
155,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09634123919838206,1.0355731225296443,79.0,0,55,0.017786561264822136,0.0
156,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10240853097995956,1.1007905138339922,119.0,2,85,0.017786561264822136,0.0
157,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.11049825335539622,1.1877470355731226,34.214285714285715,3,126,0.017786561264822136,0.0
158,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0943188086045229,1.0138339920948616,120.25,2,35,0.017786561264822136,0.0
159,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0888030888030888,0.9545454545454546,120.25,0,2,0.017786561264822136,0.0
160,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09339952197095054,1.0039525691699605,80.16666666666667,0,30,0.017786561264822136,0.0
161,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09836366979224122,1.0573122529644268,60.375,2,59,0.017786561264822136,0.0
162,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10865968008825151,1.16798418972332,81.0,3,117,0.017786561264822136,0.0
163,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.11932340503769075,1.2826086956521738,121.5,0,172,0.017786561264822136,0.0
164,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10038610038610038,1.0790513833992095,121.5,0,62,0.017786561264822136,0.0
165,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08972237543666114,0.9644268774703557,243.0,0,2,0.017786561264822136,0.0
166,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0943188086045229,1.0138339920948616,243.0,0,33,0.017786561264822136,0.0
167,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10130538701967273,1.0889328063241106,243.5,1,76,0.017786561264822136,0.0
168,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10608567751424894,1.140316205533597,245.0,3,95,0.017786561264822136,0.0
169,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.11509468652325795,1.2371541501976284,245.0,0,153,0.017786561264822136,0.0
170,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09726052583195441,1.0454545454545454,245.0,0,41,0.017786561264822136,0.0
171,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09137709137709138,0.9822134387351779,245.0,0,9,0.017786561264822136,0.0
172,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.096708953851811,1.0395256916996047,122.75,1,43,0.017786561264822136,0.0
173,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10167310167310167,1.092885375494071,123.5,3,62,0.017786561264822136,0.0
174,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.11086596800882516,1.191699604743083,82.33333333333333,0,117,0.015810276679841896,0.0
175,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.12226512226512226,1.3142292490118577,49.7,3,179,0.015810276679841896,0.0
176,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10222467365324509,1.098814229249012,82.83333333333333,0,64,0.015810276679841896,0.0
177,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0930318073175216,1.0,83.0,1,8,0.015810276679841896,0.0
